,Car Name,Kilometers Driven,Fuel Type,Transmission Type,Price,City,Year,Brand
0,Maruti Suzuki Wagon R,"9,733 km",Petrol,Manual,Rs. 5.25 Lakh,New Delhi,2022,Maruti
1,Mahindra Scorpio,"17,915 km",Diesel,Manual,Rs. 13.75 Lakh,New Delhi,2022,Mahindra
2,Maruti Suzuki Vitara Brezza,"27,398 km",Petrol,Manual,Rs. 8.5 Lakh,New Delhi,2022,Maruti
3,Tata Altroz,"4,900 km",Petrol,Manual,Rs. 9.75 Lakh,New Delhi,2023,Tata
4,Mahindra XUV300,"27,200 km",Diesel,Manual,Rs. 10.15 Lakh,New Delhi,2022,Mahindra
5,Toyota Innova Crysta,"16,791 km",Diesel,Manual,Rs. 16.95 Lakh,New Delhi,2021,Toyota
6,Hyundai i20 N Line,"5,188 km",Petrol,Automatic,Rs. 10.25 Lakh,New Delhi,2022,Hyundai
7,Kia Seltos,"35,700 km",Petrol,Manual,Rs. 13.75 Lakh,New Delhi,2022,Kia
8,Mahindra Bolero Neo,"38,000 km",Diesel,Manual,Rs. 9.5 Lakh,New Delhi,2021,Mahindra
9,MG Astor,"43,189 km",Petrol,Automatic,Rs. 13 Lakh,New Delhi,2022,MG
10,Tata Safari,"41,085 km",Diesel,Automatic,Rs. 17.95 Lakh,New Delhi,2022,Tata
11,Maruti Suzuki Ritz,"70,474 km",Petrol,Manual,Rs. 3.65 Lakh,New Delhi,2015,Maruti
12,Honda City,"53,236 km",Petrol,Manual,Rs. 5 Lakh,New Delhi,2016,Honda
13,Maruti Suzuki Ertiga,"51,000 km",Petrol+CNG,Manual,Rs. 10.5 Lakh,New Delhi,2021,Maruti
14,Honda Amaze,"52,878 km",Petrol,Manual,Rs. 5.65 Lakh,New Delhi,2018,Honda
15,Maruti Suzuki Wagon R,"13,022 km",Petrol,Manual,Rs. 5.65 Lakh,New Delhi,2023,Maruti
16,Maruti Suzuki Baleno,"50,923 km",Petrol,Manual,Rs. 5.9 Lakh,New Delhi,2018,Maruti
17,Hyundai i20 Active,"64,278 km",Petrol,Manual,Rs. 6.35 Lakh,New Delhi,2018,Hyundai
18,Honda Amaze,"55,000 km",Petrol,Automatic,Rs. 6.75 Lakh,New Delhi,2019,Honda
19,Hyundai Creta,"75,344 km",Petrol,Manual,Rs. 8.25 Lakh,New Delhi,2019,Hyundai
20,Hyundai Creta,"63,685 km",Petrol,Automatic,Rs. 9.9 Lakh,New Delhi,2019,Hyundai
21,Maruti Suzuki S-Presso,"27,000 km",Petrol,AMT,Rs. 4.75 Lakh,New Delhi,2021,Maruti
22,Maruti Suzuki Baleno,"14,600 km",Petrol,Manual,Rs. 7.1 Lakh,New Delhi,2022,Maruti
23,Tata Punch,"3,600 km",Petrol+CNG,Manual,Rs. 8.75 Lakh,New Delhi,2024,Tata
24,Maruti Suzuki Baleno,"21,000 km",Petrol,Manual,Rs. 8.9 Lakh,New Delhi,2023,Maruti
25,Hyundai Verna,"75,000 km",Petrol,Automatic,Rs. 9.5 Lakh,New Delhi,2018,Hyundai
26,Toyota Innova Crysta,"85,000 km",Diesel,Automatic,Rs. 15.25 Lakh,New Delhi,2018,Toyota
27,Mahindra Scorpio,"88,787 km",Diesel,Manual,Rs. 2.7 Lakh,New Delhi,2014,Mahindra
28,Honda Jazz,"65,032 km",Petrol,Automatic,Rs. 5.25 Lakh,New Delhi,2017,Honda
29,Mahindra XUV500,"62,960 km",Diesel,Manual,Rs. 7.75 Lakh,New Delhi,2017,Mahindra
30,Honda Elevate,"2,555 km",Petrol,Manual,Rs. 14.9 Lakh,New Delhi,2023,Honda
31,Toyota Etios,"58,995 km",Petrol,Manual,Rs. 1.9 Lakh,New Delhi,2011,Toyota
32,Maruti Suzuki Ertiga,"73,790 km",Petrol,Manual,Rs. 5.25 Lakh,New Delhi,2015,Maruti
33,Honda City ZX,"68,000 km",Petrol,Automatic,Rs. 9.75 Lakh,New Delhi,2018,Honda
34,Maruti Suzuki Fronx,"8,700 km",Petrol,Manual,Rs. 11.9 Lakh,New Delhi,2023,Maruti
35,MG Hector,"8,050 km",Petrol,Automatic,Rs. 22.5 Lakh,New Delhi,2023,MG
36,Maruti Suzuki Wagon R,"26,897 km",Petrol+CNG,Manual,Rs. 5.37 Lakh,New Delhi,2019,Maruti
37,Maruti Suzuki Wagon R,"45,600 km",Petrol,Manual,Rs. 4.97 Lakh,New Delhi,2019,Maruti
38,Maruti Suzuki Wagon R,"61,000 km",Petrol,AMT,Rs. 4.65 Lakh,New Delhi,2018,Maruti
39,Maruti Suzuki Celerio,"8,365 km",Petrol,AMT,Rs. 4.75 Lakh,New Delhi,2017,Maruti
40,Hyundai New Santro,"23,508 km",Petrol,Manual,Rs. 4.87 Lakh,New Delhi,2019,Hyundai
41,Maruti Suzuki Dzire,"20,946 km",Petrol,Manual,Rs. 5.5 Lakh,New Delhi,2018,Maruti
42,Maruti Suzuki Wagon R,"53,585 km",Petrol+CNG,Manual,Rs. 5.87 Lakh,New Delhi,2021,Maruti
43,Renault Triber,"16,795 km",Petrol,Manual,Rs. 6.47 Lakh,New Delhi,2021,Renault
44,Honda WR-V,"22,000 km",Petrol,Manual,Rs. 6.97 Lakh,New Delhi,2018,Honda
45,Hyundai Elite i20,"18,316 km",Petrol,Automatic,Rs. 7.97 Lakh,New Delhi,2020,Hyundai
46,Nissan Magnite,"23,000 km",Petrol,Manual,Rs. 7.99 Lakh,New Delhi,2022,Nissan
47,Kia Sonet,"29,518 km",Petrol,Manual,Rs. 9.25 Lakh,New Delhi,2022,Kia
48,Hyundai Venue,"30,000 km",Petrol,Manual,Rs. 10.45 Lakh,New Delhi,2022,Hyundai
49,Hyundai Venue N Line,"3,000 km",Petrol,Automatic,Rs. 12.5 Lakh,New Delhi,2022,Hyundai
50,Hyundai Creta,"17,950 km",Petrol,Manual,Rs. 12.75 Lakh,New Delhi,2022,Hyundai
51,MG Hector,"27,487 km",Petrol,Automatic,Rs. 13.25 Lakh,New Delhi,2020,MG
52,MG Astor,"28,083 km",Petrol,Manual,Rs. 13.95 Lakh,New Delhi,2022,MG
53,Mahindra Thar,"18,600 km",Diesel,Automatic,Rs. 15.77 Lakh,New Delhi,2021,Mahindra
54,Mahindra Thar,"23,561 km",Petrol,Automatic,Rs. 16.5 Lakh,New Delhi,2022,Mahindra
55,Kia Seltos,"2,298 km",Petrol,Automatic,Rs. 17.9 Lakh,New Delhi,2024,Kia
56,Maruti Suzuki Grand Vitara,"20,682 km",Hybrid,Automatic,Rs. 18.95 Lakh,New Delhi,2023,Maruti
57,Tata Harrier,"23,259 km",Diesel,Automatic,Rs. 19.37 Lakh,New Delhi,2022,Tata
58,Maruti Suzuki Grand Vitara,"4,812 km",Hybrid,Automatic,Rs. 21.5 Lakh,New Delhi,2024,Maruti
59,Toyota Camry,"26,000 km",Hybrid,Automatic,Rs. 26.5 Lakh,New Delhi,2018,Toyota
60,Tata Safari,"29,487 km",Diesel,Automatic,Rs. 18.25 Lakh,New Delhi,2022,Tata
61,Tata Tiago,"48,000 km",Diesel,Manual,Rs. 4.67 Lakh,New Delhi,2018,Tata
62,Hyundai Elite i20,"49,002 km",Petrol,Manual,Rs. 6.4 Lakh,New Delhi,2018,Hyundai
63,Maruti Suzuki Baleno,"37,000 km",Petrol,Automatic,Rs. 6.87 Lakh,New Delhi,2019,Maruti
64,Tata Altroz,"43,000 km",Petrol,Manual,Rs. 7.67 Lakh,New Delhi,2022,Tata
